"#","ИД установе","Власништво","Округ","Општина","Назив установе","Подручје рада","Образовни профил","Трајање образовања","Језик наставе","Број одељења - први разред","Број комбинованих одељења - први разред","Број специјалних одељења - први разред","Број ученика - први разред","Број девојчица - први разред","Број ИОП-а 1 - први разред","Број ИОП-а 2 - први разред","Број ИОП-а 3 - први разред","Број одељења - други разред","Број комбинованих одељења - други разред","Број специјалних одељења - други разред","Број ученика - други разред","Број девојчица - други разред","Број ИОП-а 1 - други разред","Број ИОП-а 2 - други разред","Број ИОП-а 3 - други разред","Број одељења - трећи разред","Број комбинованих одељења - трећи разред","Број специјалних одељења - трећи разред","Број ученика - трећи разред","Број девојчица - трећи разред","Број ИОП-а 1 - трећи разред","Број ИОП-а 2 - трећи разред","Број ИОП-а 3 - трећи разред","Број одељења - четврти разред","Број комбинованих одељења - четврти разред","Број специјалних одељења - четврти разред","Број ученика - четврти разред","Број девојчица - четврти разред","Број ИОП-а 1 - четврти разред","Број ИОП-а 2 - четврти разред","Број ИОП-а 3 - четврти разред"
"1.","1322","Државно","Севернобачки управни округ","Бачка Топола","Пољопривредна школа","Пољопривреда, производња и прерада хране","Пољопривредни техничар","4","Мађарски језик","1","0","0","16","6","0","1","0","1","0","0","22","4","1","0","0","1","0","0","20","7","0","0","0","1","0","0","22","8","0","0","0"
"2.","1322","Државно","Севернобачки управни округ","Бачка Топола","Пољопривредна школа","Пољопривреда, производња и прерада хране","Ветеринарски техничар","4","Мађарски језик","1","0","0","26","16","0","0","0","1","0","0","17","9","0","0","0","1","0","0","14","12","0","0","0","1","0","0","20","9","1","0","0"
"3.","1322","Државно","Севернобачки управни округ","Бачка Топола","Пољопривредна школа","Пољопривреда, производња и прерада хране","Прехрамбени техничар","4","Мађарски језик","1","0","0","15","9","0","2","0","1","0","0","9","5","0","0","0","1","0","0","12","11","0","0","0","1","0","0","13","11","0","0","0"
"4.","1322","Државно","Севернобачки управни округ","Бачка Топола","Пољопривредна школа","Пољопривреда, производња и прерада хране","Руковалац - механичар пољопривредне технике","3","Мађарски језик","1","1","0","10","0","0","2","0","1","1","0","8","0","0","0","0","1","1","0","15","0","0","0","0","0","0","0","0","0","0","0","0"
"5.","1322","Државно","Севернобачки управни округ","Бачка Топола","Пољопривредна школа","Пољопривреда, производња и прерада хране","Месар","3","Мађарски језик","0","0","0","0","0","0","0","0","1","1","0","9","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6.","1322","Државно","Севернобачки управни округ","Бачка Топола","Пољопривредна школа","Пољопривреда, производња и прерада хране","Пекар","3","Мађарски језик","1","1","0","10","7","0","2","0","0","0","0","0","0","0","0","0","1","1","0","8","4","0","0","0","0","0","0","0","0","0","0","0"
"7.","1322","Државно","Севернобачки управни округ","Бачка Топола","Пољопривредна школа","Пољопривреда, производња и прерада хране","Пољопривредни техничар","4","Српски језик","1","0","0","13","3","0","1","0","1","0","0","18","8","0","0","0","1","0","0","18","6","0","0","0","0","0","0","0","0","0","0","0"
"8.","1322","Државно","Севернобачки управни округ","Бачка Топола","Пољопривредна школа","Пољопривреда, производња и прерада хране","Ветеринарски техничар","4","Српски језик","1","0","0","15","9","0","0","0","1","0","0","23","10","0","0","0","1","0","0","22","10","0","0","0","1","0","0","24","17","0","0","0"
"9.","1322","Државно","Севернобачки управни округ","Бачка Топола","Пољопривредна школа","Пољопривреда, производња и прерада хране","Руковалац - механичар пољопривредне технике","3","Српски језик","1","1","0","9","0","0","1","0","1","1","0","9","0","0","0","0","1","1","0","12","0","1","0","0","0","0","0","0","0","0","0","0"
"10.","1322","Државно","Севернобачки управни округ","Бачка Топола","Пољопривредна школа","Пољопривреда, производња и прерада хране","Пољопривредни техничар","4","Српски језик","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","20","4","0","0","0"
"11.","1322","Државно","Севернобачки управни округ","Бачка Топола","Пољопривредна школа","Пољопривреда, производња и прерада хране","Оператер у прехрамбеној индустрији","3","Српски језик","1","1","0","6","4","0","2","0","1","1","0","11","7","2","0","0","1","1","0","7","5","2","0","0","0","0","0","0","0","0","0","0"
"12.","1323","Државно","Севернобачки управни округ","Бачка Топола","Средња техничка школа Шинковић Јожеф","Електротехника","Електротехничар рачунара","4","Мађарски језик","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","21","3","0","0","0"
"13.","1323","Државно","Севернобачки управни округ","Бачка Топола","Средња техничка школа Шинковић Јожеф","Геодезија и грађевинарство","Керамичар - терацер - пећар","3","Мађарски језик","1","1","0","4","1","0","1","0","0","0","0","0","0","0","0","0","1","1","0","8","0","0","0","0","0","0","0","0","0","0","0","0"
"14.","1323","Државно","Севернобачки управни округ","Бачка Топола","Средња техничка школа Шинковић Јожеф","Геодезија и грађевинарство","Декоратер зидних површина","3","Мађарски језик","1","1","0","3","1","0","1","0","0","0","0","0","0","0","0","0","1","1","0","5","0","0","1","0","0","0","0","0","0","0","0","0"
"15.","1323","Државно","Севернобачки управни округ","Бачка Топола","Средња техничка школа Шинковић Јожеф","Остала делатност личних услуга","Женски фризер","3","Мађарски језик","0","0","0","0","0","0","0","0","1","0","0","17","17","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16.","1323","Државно","Севернобачки управни округ","Бачка Топола","Средња техничка школа Шинковић Јожеф","Машинство и обрада метала","Машински техничар моторних возила","4","Мађарски језик","1","0","0","10","0","0","0","0","1","0","0","8","0","0","0","0","1","0","0","21","0","0","0","0","1","0","0","13","0","0","0","0"
"17.","1323","Државно","Севернобачки управни округ","Бачка Топола","Средња техничка школа Шинковић Јожеф","Електротехника","Електротехничар рачунара (Нови ППНУ од 2018/19)","4","Мађарски језик","1","0","0","16","1","0","0","0","1","0","0","24","4","0","0","0","1","0","0","26","3","0","0","0","0","0","0","0","0","0","0","0"
"18.","1323","Државно","Севернобачки управни округ","Бачка Топола","Средња техничка школа Шинковић Јожеф","Електротехника","Електротехничар рачунара (Нови ППНУ од 2018/19)","4","Српски језик","1","0","0","17","1","0","0","0","1","0","0","27","4","0","0","0","1","0","0","20","6","0","0","0","0","0","0","0","0","0","0","0"
"19.","1324","Државно","Севернобачки управни округ","Суботица - град","Гимназија Светозар Марковић","Гимназија","Природно - математички смер","4","Мађарски језик","1","0","0","13","7","0","0","0","1","0","0","19","8","0","0","0","1","0","0","22","13","0","0","0","1","0","0","24","15","0","0","0"
"20.","1324","Државно","Севернобачки управни округ","Суботица - град","Гимназија Светозар Марковић","Гимназија","Друштвено - језички смер гимназије","4","Мађарски језик","1","0","0","14","11","0","0","0","1","0","0","6","4","0","0","0","1","0","0","13","10","0","0","0","1","0","0","11","10","0","0","0"
"21.","1324","Државно","Севернобачки управни округ","Суботица - град","Гимназија Светозар Марковић","Гимназија","Природно - математички смер","4","Српски језик","2","0","0","58","41","0","0","0","2","0","0","59","37","0","0","0","2","0","0","50","28","0","0","0","2","0","0","58","32","0","0","0"
"22.","1324","Државно","Севернобачки управни округ","Суботица - град","Гимназија Светозар Марковић","Гимназија","Друштвено - језички смер гимназије","4","Српски језик","4","0","0","98","68","0","0","0","4","0","0","106","82","0","0","0","4","0","0","104","69","0","0","0","4","0","0","104","75","0","0","0"
"23.","1324","Државно","Севернобачки управни округ","Суботица - град","Гимназија Светозар Марковић","Гимназија","Ученици са посебним способностима за рачунарство и информатику","4","Српски језик","1","0","0","15","3","0","0","0","1","0","0","18","1","0","0","0","1","0","0","19","3","0","0","0","0","0","0","0","0","0","0","0"
"24.","1324","Државно","Севернобачки управни округ","Суботица - град","Гимназија Светозар Марковић","Гимназија","Општи тип гимназије","4","Хрватски језик","1","0","0","9","7","0","0","0","1","0","0","15","9","0","0","0","1","0","0","12","8","0","0","0","1","0","0","24","14","0","0","0"
"25.","1325","Државно","Севернобачки управни округ","Суботица - град","Економска средња школа Боса Милићевић","Трговина, угоститељство и туризам","Туристички техничар","4","Мађарски језик","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","22","15","0","0","0"
"26.","1325","Државно","Севернобачки управни округ","Суботица - град","Економска средња школа Боса Милићевић","Трговина, угоститељство и туризам","Конобар","3","Мађарски језик","0","0","0","0","0","0","0","0","1","1","0","10","4","0","1","0","1","1","0","6","4","0","0","0","0","0","0","0","0","0","0","0"
"27.","1325","Државно","Севернобачки управни округ","Суботица - град","Економска средња школа Боса Милићевић","Трговина, угоститељство и туризам","Кувар","3","Мађарски језик","0","0","0","0","0","0","0","0","1","1","0","12","7","0","1","0","1","1","0","14","7","0","1","0","0","0","0","0","0","0","0","0"
"28.","1325","Државно","Севернобачки управни округ","Суботица - град","Економска средња школа Боса Милићевић","Економија, право и администрација","Економски техничар","4","Мађарски језик","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","25","23","0","0","0","1","0","0","25","21","0","0","0"
"29.","1325","Државно","Севернобачки управни округ","Суботица - град","Економска средња школа Боса Милићевић","Трговина, угоститељство и туризам","Туристичко-хотелијерски техничар","4","Мађарски језик","0","0","0","0","0","0","0","0","1","0","0","20","15","0","0","0","1","0","0","25","24","0","0","0","0","0","0","0","0","0","0","0"
"30.","1325","Државно","Севернобачки управни округ","Суботица - град","Економска средња школа Боса Милићевић","Економија, право и администрација","Економски техничар (Нови ППНУ од 2019/20)","4","Мађарски језик","1","0","0","27","24","0","0","0","1","0","0","27","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"31.","1325","Државно","Севернобачки управни округ","Суботица - град","Економска средња школа Боса Милићевић","Трговина, угоститељство и туризам","Кувар (Нови ППНУ од 2020/21)","3","Мађарски језик","1","0","0","17","7","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"32.","1325","Државно","Севернобачки управни округ","Суботица - град","Економска средња школа Боса Милићевић","Трговина, угоститељство и туризам","Туристичко-хотелијерски техничар (Нови ППНУ од 2020/21)","4","Мађарски језик","1","0","0","24","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"33.","1325","Државно","Севернобачки управни округ","Суботица - град","Економска средња школа Боса Милићевић","Трговина, угоститељство и туризам","Туристички техничар","4","Српски језик","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","29","15","0","0","0"
"34.","1325","Државно","Севернобачки управни округ","Суботица - град","Економска средња школа Боса Милићевић","Трговина, угоститељство и туризам","Конобар","3","Српски језик","0","0","0","0","0","0","0","0","1","1","0","13","3","0","0","0","1","1","0","10","3","0","1","0","0","0","0","0","0","0","0","0"
"35.","1325","Државно","Севернобачки управни округ","Суботица - град","Економска средња школа Боса Милићевић","Трговина, угоститељство и туризам","Кувар","3","Српски језик","0","0","0","0","0","0","0","0","1","1","0","13","3","0","1","0","1","1","0","12","6","0","2","0","0","0","0","0","0","0","0","0"
"36.","1325","Државно","Севернобачки управни округ","Суботица - град","Економска средња школа Боса Милићевић","Економија, право и администрација","Економски техничар","4","Српски језик","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","31","17","0","0","0","1","0","0","29","21","0","0","0"
"37.","1325","Државно","Севернобачки управни округ","Суботица - град","Економска средња школа Боса Милићевић","Економија, право и администрација","Службеник у банкарству и осигурању","4","Српски језик","1","0","0","30","21","0","0","0","1","0","0","27","20","0","1","0","1","0","0","27","12","0","0","0","1","0","0","30","20","0","0","0"
"38.","1325","Државно","Севернобачки управни округ","Суботица - град","Економска средња школа Боса Милићевић","Трговина, угоститељство и туризам","Туристичко-хотелијерски техничар","4","Српски језик","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","30","23","0","0","0","0","0","0","0","0","0","0","0"
"39.","1325","Државно","Севернобачки управни округ","Суботица - град","Економска средња школа Боса Милићевић","Трговина, угоститељство и туризам","Туристичко-хотелијерски техничар","4","Српски језик","0","0","0","0","0","0","0","0","1","0","0","25","17","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40.","1325","Државно","Севернобачки управни округ","Суботица - град","Економска средња школа Боса Милићевић","Економија, право и администрација","Економски техничар (Нови ППНУ од 2019/20)","4","Српски језик","1","0","0","30","17","0","0","0","1","0","0","28","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"41.","1325","Државно","Севернобачки управни округ","Суботица - град","Економска средња школа Боса Милићевић","Трговина, угоститељство и туризам","Конобар (Нови ППНУ од 2020/21)","3","Српски језик","1","1","0","13","6","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"42.","1325","Државно","Севернобачки управни округ","Суботица - град","Економска средња школа Боса Милићевић","Трговина, угоститељство и туризам","Кувар (Нови ППНУ од 2020/21)","3","Српски језик","1","1","0","11","3","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"43.","1325","Државно","Севернобачки управни округ","Суботица - град","Економска средња школа Боса Милићевић","Трговина, угоститељство и туризам","Туристичко-хотелијерски техничар (Нови ППНУ од 2020/21)","4","Српски језик","1","0","0","30","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"44.","1326","Државно","Севернобачки управни округ","Суботица - град","Средња медицинска школа","Здравство и социјална заштита","Медицинска сестра - васпитач","4","Мађарски језик","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","21","18","0","0","0"
"45.","1326","Државно","Севернобачки управни округ","Суботица - град","Средња медицинска школа","Здравство и социјална заштита","Масер- нови наставни план","3","Мађарски језик","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","28","23","0","0","0","0","0","0","0","0","0","0","0"
"46.","1326","Државно","Севернобачки управни округ","Суботица - град","Средња медицинска школа","Здравство и социјална заштита","Фармацеутски техничар - иновирани образовни програм","4","Мађарски језик","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","29","25","0","0","0","0","0","0","0","0","0","0","0"
"47.","1326","Државно","Севернобачки управни округ","Суботица - град","Средња медицинска школа","Здравство и социјална заштита","Медицинска сестра - техничар - Нов наставни програм","4","Мађарски језик","1","0","0","30","22","0","0","0","2","0","0","41","35","0","0","0","1","0","0","29","24","0","0","0","1","0","0","31","25","0","0","0"
"48.","1326","Државно","Севернобачки управни округ","Суботица - град","Средња медицинска школа","Здравство и социјална заштита","Стоматолошка сестра техничар - нов наставни програм","4","Мађарски језик","1","0","0","15","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"49.","1326","Државно","Севернобачки управни округ","Суботица - град","Средња медицинска школа","Здравство и социјална заштита","Гинеколошко - акушерска сестра","4","Српски језик","1","0","0","30","28","0","0","0","0","0","0","0","0","0","0","0","1","0","0","27","27","0","0","0","0","0","0","0","0","0","0","0"
"50.","1326","Државно","Севернобачки управни округ","Суботица - град","Средња медицинска школа","Здравство и социјална заштита","Фармацеутски техничар - иновирани образовни програм","4","Српски језик","0","0","0","0","0","0","0","0","1","0","0","27","24","0","0","0","0","0","0","0","0","0","0","0","1","0","0","29","27","0","0","0"
"51.","1326","Државно","Севернобачки управни округ","Суботица - град","Средња медицинска школа","Здравство и социјална заштита","Лабораторијски техничар - иновирани образовни програм","4","Српски језик","0","0","0","0","0","0","0","0","1","0","0","27","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"52.","1326","Државно","Севернобачки управни округ","Суботица - град","Средња медицинска школа","Здравство и социјална заштита","Медицинска сестра - техничар - Нов наставни програм","4","Српски језик","2","0","0","64","56","0","0","0","1","0","0","30","24","0","0","0","2","0","0","57","47","0","0","0","1","0","0","34","28","0","0","0"
"53.","1326","Државно","Севернобачки управни округ","Суботица - град","Средња медицинска школа","Здравство и социјална заштита","Физиотерапеутски техничар - нови наставни програм","4","Српски језик","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","34","26","0","0","0"
"54.","1326","Државно","Севернобачки управни округ","Суботица - град","Средња медицинска школа","Здравство и социјална заштита","Медицинска сестра - васпитач","4","Хрватски језик","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","15","12","0","0","0","0","0","0","0","0","0","0","0"
"55.","1326","Државно","Севернобачки управни округ","Суботица - град","Средња медицинска школа","Здравство и социјална заштита","Медицинска сестра - техничар - Нов наставни програм","4","Хрватски језик","0","0","0","0","0","0","0","0","1","0","0","28","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"56.","1326","Државно","Севернобачки управни округ","Суботица - град","Средња медицинска школа","Здравство и социјална заштита","Физиотерапеутски техничар - нови наставни програм","4","Хрватски језик","1","0","0","30","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"57.","1327","Државно","Севернобачки управни округ","Суботица - град","Политехничка школа","Геодезија и грађевинарство","Керамичар - терацер - пећар","3","Мађарски језик","1","1","0","9","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","8","0","0","0","0","0","0","0","0","0","0","0","0"
"58.","1327","Државно","Севернобачки управни округ","Суботица - град","Политехничка школа","Геодезија и грађевинарство","Декоратер зидних површина","3","Мађарски језик","1","1","0","4","0","0","2","0","0","0","0","0","0","0","0","0","1","1","0","4","1","0","0","0","0","0","0","0","0","0","0","0"
"59.","1327","Државно","Севернобачки управни округ","Суботица - град","Политехничка школа","Хемија, неметали и графичарство","Техничар за обликовање графичких производа","4","Мађарски језик","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","26","17","0","0","0"
"60.","1327","Државно","Севернобачки управни округ","Суботица - град","Политехничка школа","Геодезија и грађевинарство","Архитектонски техничар","4","Мађарски језик","1","0","0","16","8","0","0","0","0","0","0","0","0","0","0","0","1","0","0","23","14","0","0","0","0","0","0","0","0","0","0","0"
"61.","1327","Државно","Севернобачки управни округ","Суботица - град","Политехничка школа","Геодезија и грађевинарство","Оператер основних грађевинских радова","3","Мађарски језик","0","0","0","0","0","0","0","0","1","0","0","14","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"62.","1327","Државно","Севернобачки управни округ","Суботица - град","Политехничка школа","Хемија, неметали и графичарство","Техничар за дигиталну графику и интернет обликовање","4","Мађарски језик","0","0","0","0","0","0","0","0","1","0","0","29","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"63.","1327","Државно","Севернобачки управни округ","Суботица - град","Политехничка школа","NULL","NULL","0","Српски језик","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"64.","1327","Државно","Севернобачки управни округ","Суботица - град","Политехничка школа","Шумарство и обрада дрвета","Техничар за пејзажну архитектуру","4","Српски језик","0","0","0","0","0","0","0","0","1","0","0","15","11","0","0","0","0","0","0","0","0","0","0","0","1","0","0","20","8","0","0","0"
"65.","1327","Државно","Севернобачки управни округ","Суботица - град","Политехничка школа","Геодезија и грађевинарство","Извођач инсталатерских и завршних грађевинских радова","4","Српски језик","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","19","0","0","0","0"
"66.","1327","Државно","Севернобачки управни округ","Суботица - град","Политехничка школа","Хемија, неметали и графичарство","Техничар за графичку припрему","4","Српски језик","0","0","0","0","0","0","0","0","1","0","0","26","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"67.","1327","Државно","Севернобачки управни округ","Суботица - град","Политехничка школа","Хемија, неметали и графичарство","Техничар за обликовање графичких производа","4","Српски језик","1","0","0","26","14","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"68.","1327","Државно","Севернобачки управни округ","Суботица - град","Политехничка школа","Хемија, неметали и графичарство","Техничар за графичку припрему","4","Српски језик","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","28","15","0","0","0"
"69.","1327","Државно","Севернобачки управни округ","Суботица - град","Политехничка школа","Шумарство и обрада дрвета","Техничар за обликовање намештаја и ентеријера","4","Српски језик","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","18","7","0","0","0","0","0","0","0","0","0","0","0"
"70.","1327","Државно","Севернобачки управни округ","Суботица - град","Политехничка школа","Геодезија и грађевинарство","Архитектонски техничар","4","Српски језик","1","0","0","30","16","0","0","0","1","0","0","29","14","0","0","0","1","0","0","21","12","0","0","0","1","0","0","21","14","0","0","0"
"71.","1327","Државно","Севернобачки управни округ","Суботица - град","Политехничка школа","Шумарство и обрада дрвета","Оператер за израду намештаја","3","Српски језик","1","0","0","15","4","0","2","0","1","0","0","23","6","0","2","0","1","0","0","17","6","0","0","0","0","0","0","0","0","0","0","0"
"72.","1327","Државно","Севернобачки управни округ","Суботица - град","Политехничка школа","Геодезија и грађевинарство","Оператер основних грађевинских радова","3","Српски језик","1","1","0","7","3","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"73.","1327","Државно","Севернобачки управни округ","Суботица - град","Политехничка школа","Геодезија и грађевинарство","Грађевински техничар","4","Српски језик","0","0","0","0","0","0","0","0","1","0","0","11","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"74.","1327","Државно","Севернобачки управни округ","Суботица - град","Политехничка школа","Хемија, неметали и графичарство","Техничар за дигиталну графику и интернет обликовање","4","Српски језик","1","0","0","30","14","0","1","0","0","0","0","0","0","0","0","0","1","0","0","30","16","0","0","0","0","0","0","0","0","0","0","0"
"75.","1327","Државно","Севернобачки управни округ","Суботица - град","Политехничка школа","Геодезија и грађевинарство","Руковалац грађевинском механизацијом (Нови ППНУ од 10/2019)","3","Српски језик","1","1","0","10","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"76.","1327","Државно","Севернобачки управни округ","Суботица - град","Политехничка школа","Хемија, неметали и графичарство","Техничар штампе","4","Хрватски језик","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","11","4","0","0","0","1","1","0","11","7","0","0","0"
"77.","1327","Државно","Севернобачки управни округ","Суботица - град","Политехничка школа","Хемија, неметали и графичарство","Техничар графичке дораде","4","Хрватски језик","0","0","0","0","0","0","0","0","1","0","0","11","5","0","1","0","1","1","0","13","8","1","0","0","1","1","0","15","6","0","0","0"
"78.","1327","Државно","Севернобачки управни округ","Суботица - град","Политехничка школа","Геодезија и грађевинарство","Извођач инсталатерских и завршних грађевинских радова","4","Хрватски језик","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","7","0","1","0","0","0","0","0","0","0","0","0","0"
"79.","1327","Државно","Севернобачки управни округ","Суботица - град","Политехничка школа","Шумарство и обрада дрвета","Техничар за обликовање намештаја и ентеријера","4","Хрватски језик","1","0","0","8","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80.","1328","Државно","Севернобачки управни округ","Суботица - град","Хемијско-технолошка школа","Пољопривреда, производња и прерада хране","Прехрамбени техничар","4","Мађарски језик","1","0","0","6","5","0","2","0","1","0","0","8","6","0","1","0","1","0","0","14","14","1","0","0","1","0","0","13","8","0","0","0"
"81.","1328","Државно","Севернобачки управни округ","Суботица - град","Хемијско-технолошка школа","Трговина, угоститељство и туризам","Посластичар","3","Мађарски језик","1","0","0","18","14","0","1","0","1","0","0","28","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"82.","1328","Државно","Севернобачки управни округ","Суботица - град","Хемијско-технолошка школа","Хемија, неметали и графичарство","Техничар за индустријску фармацеутску технологију","4","Мађарски језик","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","11","6","0","0","0"
"83.","1328","Државно","Севернобачки управни округ","Суботица - град","Хемијско-технолошка школа","Текстилство и кожарство","Моделар одеће - образовни профил изашао из огледа","4","Мађарски језик","1","0","0","15","15","0","0","0","1","0","0","8","7","0","1","0","1","0","0","20","20","1","1","0","1","0","0","13","13","0","0","0"
"84.","1328","Државно","Севернобачки управни округ","Суботица - град","Хемијско-технолошка школа","Пољопривреда, производња и прерада хране","Ветеринарски техничар","4","Српски језик","1","0","0","30","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"85.","1328","Државно","Севернобачки управни округ","Суботица - град","Хемијско-технолошка школа","Пољопривреда, производња и прерада хране","Прехрамбени техничар","4","Српски језик","1","0","0","14","7","0","2","0","1","0","0","14","7","0","1","0","1","0","0","16","10","0","0","0","1","0","0","25","10","0","2","0"
"86.","1328","Државно","Севернобачки управни округ","Суботица - град","Хемијско-технолошка школа","Пољопривреда, производња и прерада хране","Пекар","3","Српски језик","1","0","0","26","12","0","1","0","1","0","0","26","11","0","0","0","1","0","0","24","14","0","2","0","0","0","0","0","0","0","0","0"
"87.","1328","Државно","Севернобачки управни округ","Суботица - град","Хемијско-технолошка школа","Хемија, неметали и графичарство","Хемијски лаборант","4","Српски језик","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","13","6","0","0","0","1","0","0","13","9","0","0","0"
"88.","1328","Државно","Севернобачки управни округ","Суботица - град","Хемијско-технолошка школа","Хемија, неметали и графичарство","Техничар за заштиту животне средине","4","Српски језик","1","0","0","25","7","0","1","0","1","0","0","23","12","0","0","0","1","0","0","21","9","0","1","0","1","0","0","23","8","0","0","0"
"89.","1328","Државно","Севернобачки управни округ","Суботица - град","Хемијско-технолошка школа","Хемија, неметали и графичарство","Техничар за индустријску фармацеутску технологију","4","Српски језик","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","16","13","0","0","0","1","0","0","28","22","0","0","0"
"90.","1328","Државно","Севернобачки управни округ","Суботица - град","Хемијско-технолошка школа","Текстилство и кожарство","Моделар одеће - образовни профил изашао из огледа","4","Српски језик","1","0","0","13","13","0","2","0","1","0","0","13","13","0","4","0","1","0","0","16","15","0","1","0","1","0","0","19","16","0","0","0"
"91.","1328","Државно","Севернобачки управни округ","Суботица - град","Хемијско-технолошка школа","Хемија, неметали и графичарство","Техничар за прераду нафте и гаса","4","Српски језик","0","0","0","0","0","0","0","0","1","0","0","15","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"92.","1328","Државно","Севернобачки управни округ","Суботица - град","Хемијско-технолошка школа","Хемија, неметали и графичарство","Техничар за хемијску и фармацеутску технологију","4","Српски језик","1","0","0","28","22","0","1","0","1","0","0","18","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"93.","1329","Државно","Севернобачки управни округ","Суботица - град","Техничка школа Иван Сарић","Машинство и обрада метала","Техничар за компјутерско управљање","4","Мађарски језик","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","23","3","0","0","0"
"94.","1329","Државно","Севернобачки управни округ","Суботица - град","Техничка школа Иван Сарић","Машинство и обрада метала","Машински техничар за компјутерско конструисање","4","Мађарски језик","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","14","3","0","0","0","0","0","0","0","0","0","0","0"
